Size,LinearSearch,BSTree,RBTree,HashTable,StdMultimap
100,1.4075e-05,0.000377879,3.7542e-06,2.459e-07,1.1875e-06
200,1e-05,1.11583e-05,4.5083e-06,3.458e-07,1.425e-06
500,4.47334e-05,2.82375e-05,6.125e-06,3.5e-07,2.6417e-06
1000,5.88834e-05,4.0025e-05,6.2792e-06,2.625e-07,1.9875e-06
2000,0.000102779,4.60375e-05,3.9084e-06,1.583e-07,1.5916e-06
5000,0.000143217,0.000134512,4.1042e-06,1.542e-07,1.5667e-06
10000,0.000242888,0.000210796,4e-06,1.709e-07,1.2333e-06
20000,0.000540908,0.000406258,5.6625e-06,1.334e-07,1.7833e-06
50000,0.00149017,0.00101375,5.475e-06,1.25e-07,2.0125e-06
100000,0.00292562,0.00204243,5.9e-06,1.5e-07,2.1375e-06
200000,0.00593118,0.00470503,6.4166e-06,1.708e-07,2.2833e-06
